id,preco
0,12.405.620.281.535.050
1,9.969.452.859.272.982
2,10.382.805.941.459.452
3,9.887.421.912.465.560
4,9.955.231.597.506.606
5,6.517.356.903.016.640
6,11.272.444.273.265.622
7,12.742.600.072.239.316
8,8.942.671.212.365.569
9,8.735.350.901.989.695
10,11.674.858.410.898.380
11,11.590.021.885.788.666
12,13.080.860.181.780.048
13,10.702.291.048.944.606
14,9.063.816.404.173.254
15,6.327.846.577.375.642
16,14.491.901.572.328.892
17,11.449.406.317.284.306
18,8.362.646.353.012.806
19,8.710.510.873.982.156
20,7.724.669.081.604.777
21,13.325.740.452.957.852
22,10.145.654.756.239.582
23,14.309.799.183.090.280
24,6.686.550.902.562.445
25,7.664.478.697.018.980
26,9.037.336.858.482.060
27,9.183.826.465.593.632
28,10.140.471.235.301.878
29,11.120.984.302.158.950
30,14.377.852.616.549.334
31,14.840.260.057.456.108
32,7.284.064.438.619.581
33,9.970.545.930.117.748
34,8.331.167.487.371.997
35,11.595.730.065.576.574
36,14.539.852.850.498.858
37,12.363.899.304.752.084
38,14.904.785.348.801.764
39,9.190.207.882.741.756
40,9.239.667.437.612.254
41,10.491.923.564.282.328
42,8.400.649.706.879.018
43,7.792.579.006.529.897
44,10.566.654.627.108.452
45,12.428.090.684.435.390
46,9.214.797.573.925.358
47,6.187.469.061.400.799
48,9.250.020.294.905.844
49,7.398.921.070.740.502
50,4.886.680.202.360.554
51,8.052.669.330.801.785
52,7.110.479.784.396.177
53,9.995.065.016.574.206
54,9.890.895.109.814.688
55,12.037.580.949.245.692
56,7.722.301.388.665.802
57,10.783.215.539.778.930
58,9.345.345.116.755.188
59,9.670.968.477.622.886
60,7.352.356.652.736.713
61,7.840.463.429.028.750
62,10.325.052.051.719.588
63,7.328.873.790.953.147
64,4.976.317.001.976.689
65,12.324.785.238.819.786
66,5.826.347.612.692.303
67,9.445.704.085.790.880
68,13.814.801.540.788.066
69,21.173.953.095.772.552
70,7.786.219.378.526.230
71,12.452.311.382.839.568
72,10.707.486.185.432.588
73,11.440.463.258.150.166
74,11.607.911.852.329.502
75,9.871.773.813.570.662
76,10.058.965.230.621.840
77,8.450.038.953.551.562
78,9.241.213.600.130.136
79,8.109.252.989.928.795
80,5.104.189.480.894.511
81,13.468.813.853.167.012
82,11.811.887.079.652.740
83,9.560.524.272.556.476
84,10.369.293.904.839.172
85,10.646.487.652.997.284
86,7.640.933.885.323.615
87,12.344.523.012.566.178
88,6.429.613.735.619.199
89,8.428.451.586.838.001
90,10.765.237.869.190.008
91,9.536.638.458.706.828
92,8.226.221.079.313.124
93,9.763.098.037.765.116
94,7.288.471.777.882.586
95,11.761.986.796.147.798
96,14.668.818.235.095.584
97,11.458.378.898.943.596
98,8.593.922.868.828.966
99,10.166.834.894.250.494
100,12.322.842.422.758.006
101,12.262.953.545.311.532
102,9.933.423.953.735.704
103,9.442.293.220.450.590
104,9.785.579.175.205.410
105,8.497.433.028.195.189
106,11.101.957.108.647.164
107,10.147.084.452.029.356
108,11.043.377.260.498.832
109,10.412.124.951.125.036
110,10.683.552.349.736.814
111,12.478.374.717.244.634
112,5.644.846.742.245.949
113,9.316.317.598.176.110
114,12.241.115.569.483.496
115,8.289.653.890.903.935
116,9.901.782.359.845.982
117,13.693.325.047.881.622
118,10.403.072.263.505.886
119,11.823.508.090.162.678
120,10.194.490.144.455.780
121,9.569.776.294.413.864
122,7.974.932.342.335.547
123,6.564.257.816.523.213
124,11.163.669.304.954.470
125,13.562.945.234.521.212
126,10.467.014.796.799.566
127,9.866.966.933.601.554
128,8.511.453.232.458.828
129,11.507.110.867.580.564
130,10.720.210.570.324.466
131,15.801.592.643.271.044
132,8.050.894.411.484.484
133,13.264.234.306.737.386
134,9.835.731.947.751.796
135,12.442.789.739.193.278
136,14.579.068.918.179.898
137,17.941.083.569.500.200
138,10.892.419.306.435.356
139,9.615.408.028.226.866
140,8.760.418.019.452.957
141,9.946.426.410.243.130
142,7.879.801.062.555.604
143,8.233.456.497.206.438
144,8.025.222.866.341.388
145,12.999.787.572.451.584
146,10.451.045.695.198.800
147,10.557.243.582.358.254
148,10.430.919.678.924.898
149,7.169.580.860.943.531
150,12.717.129.323.046.756
151,9.600.731.881.758.884
152,9.277.312.406.493.502
153,10.780.396.184.955.592
154,9.250.022.879.419.016
155,7.431.753.577.625.776
156,13.571.805.739.536.402
157,6.814.340.788.422.117
158,8.834.394.823.481.414
159,9.417.701.806.048.300
160,5.961.704.657.735.701
161,8.554.203.823.384.876
162,13.369.148.523.447.744
163,9.274.814.009.375.052
164,9.423.659.833.510.612
165,8.707.987.554.151.840
166,9.142.601.065.739.312
167,10.411.674.652.842.612
168,9.109.097.501.264.564
169,7.127.940.766.009.432
170,12.224.872.291.850.466
171,9.581.965.145.906.816
172,8.958.519.545.040.882
173,10.681.256.088.166.682
174,10.492.768.638.938.864
175,9.439.354.975.181.864
176,9.311.439.987.214.344
177,12.180.755.352.632.758
178,9.777.502.987.432.780
179,20.083.129.428.654.128
180,10.202.977.617.521.516
181,11.077.443.378.756.392
182,10.992.841.634.645.436
183,6.206.186.111.870.892
184,13.325.756.662.350.338
185,10.627.115.502.730.280
186,9.580.336.565.367.204
187,10.844.406.226.206.990
188,10.322.638.395.419.174
189,10.185.227.363.823.484
190,7.882.472.951.813.837
191,11.406.411.132.236.104
192,9.037.741.020.417.606
193,12.207.361.224.422.392
194,11.104.679.667.314.836
195,11.355.704.482.874.744
196,11.044.155.898.433.648
197,17.245.755.884.423.424
198,6.558.330.649.665.543
199,13.023.187.437.759.082
200,10.115.649.544.061.384
201,6.726.726.050.312.948
202,9.430.572.460.911.250
203,5.586.596.102.461.747
204,9.588.385.432.386.196
205,10.914.961.166.364.356
206,9.149.196.697.472.624
207,9.151.394.935.048.142
208,8.883.829.676.936.884
209,11.125.171.286.016.360
210,8.908.150.461.677.071
211,6.689.828.316.799.230
212,10.995.881.169.017.780
213,10.331.763.909.243.862
214,8.771.152.005.382.821
215,10.661.152.559.206.994
216,27.712.224.548.406.172
217,12.458.946.172.570.840
218,7.204.591.801.580.394
219,6.868.735.009.871.910
220,10.361.783.792.769.954
221,8.690.349.247.239.979
222,10.921.092.214.333.918
223,9.710.082.121.311.016
224,10.999.610.716.945.510
225,10.463.259.015.045.068
226,8.214.794.622.087.977
227,10.438.674.576.088.764
228,9.840.473.304.618.226
229,9.292.226.528.998.210
230,7.344.031.770.603.381
231,9.332.074.191.957.860
232,6.937.109.388.420.610
233,13.737.771.981.632.712
234,8.472.963.465.099.657
235,5.513.962.847.493.820
236,9.714.067.434.453.028
237,7.406.275.511.092.306
238,10.845.326.177.305.878
239,6.968.664.834.425.533
240,8.502.174.208.138.538
241,8.216.027.258.938.907
242,13.725.056.605.411.976
243,10.244.234.821.185.030
244,12.141.488.302.655.120
245,12.910.534.233.478.780
246,12.728.448.745.449.938
247,8.222.901.638.080.022
248,6.262.963.372.935.196
249,9.693.422.455.722.190
250,7.127.981.635.806.676
251,11.302.861.806.822.684
252,10.268.617.308.393.400
253,11.355.035.101.697.166
254,7.422.893.832.917.985
255,14.580.201.040.048.108
256,7.108.412.652.798.774
257,12.161.152.253.365.226
258,10.019.848.822.515.424
259,13.087.797.549.783.900
260,8.457.682.163.308.716
261,21.922.757.436.288.972
262,8.749.129.017.602.333
263,12.926.487.659.319.472
264,7.991.668.537.187.146
265,8.598.410.141.117.032
266,6.067.473.657.066.420
267,7.159.901.503.283.106
268,6.093.978.290.940.501
269,8.139.131.622.676.884
270,11.433.954.022.016.948
271,8.311.780.626.128.282
272,7.971.262.650.473.094
273,11.531.452.123.317.022
274,8.775.039.748.224.361
275,9.446.842.139.995.134
276,9.797.326.262.480.866
277,13.463.102.232.638.538
278,11.451.111.313.531.888
279,8.207.155.848.107.410
280,11.845.015.132.830.760
281,10.756.949.124.796.822
282,8.046.953.645.380.283
283,8.263.645.211.993.533
284,9.042.529.916.623.308
285,10.063.051.623.993.350
286,12.095.591.268.302.572
287,12.330.146.985.464.570
288,9.742.410.116.970.814
289,8.198.580.347.791.541
290,6.160.293.978.245.248
291,7.311.379.513.372.113
292,9.021.504.707.181.786
293,11.872.861.682.488.782
294,6.015.208.202.883.694
295,15.702.400.672.607.052
296,12.332.390.020.359.608
297,7.123.817.746.196.428
298,12.300.400.157.194.424
299,9.414.687.687.174.306
300,7.489.336.192.415.416
301,3.744.574.198.335.175
302,10.791.949.768.871.444
303,27.229.126.889.465.860
304,11.115.896.032.728.898
305,13.312.419.555.808.116
306,9.341.575.967.867.914
307,10.054.880.836.621.742
308,7.251.473.409.349.155
309,9.127.199.021.175.916
310,13.448.715.025.437.572
311,4.165.819.507.161.289
312,8.866.084.366.699.777
